,teamname,Champion,bot,jng,mid,sup,top
447,G2 Esports,Tahm Kench,0.0,0.0,0.0,2.449489743,0.0
448,G2 Esports,Taliyah,0.0,0.0,1.732050808,0.0,0.0
449,G2 Esports,Taric,0.0,0.0,0.0,1.0,0.0
450,G2 Esports,Thresh,0.0,0.0,0.0,1.0,0.0
451,G2 Esports,Tristana,1.0,0.0,0.0,0.0,0.0
452,G2 Esports,Trundle,0.0,2.828427125,0.0,0.0,0.0
453,G2 Esports,Tryndamere,0.0,0.0,0.0,0.0,2.0
454,G2 Esports,Twisted Fate,0.0,0.0,1.732050808,0.0,0.0
455,G2 Esports,Twitch,1.0,0.0,0.0,0.0,0.0
456,G2 Esports,Varus,0.0,0.0,1.0,0.0,0.0
457,G2 Esports,Vayne,0.0,0.0,0.0,0.0,0.0
458,G2 Esports,Veigar,0.0,0.0,0.0,0.0,0.0
459,G2 Esports,Vex,0.0,0.0,0.0,0.0,0.0
460,G2 Esports,Vi,0.0,1.414213562,0.0,0.0,0.0
461,G2 Esports,Viego,0.0,2.645751311,0.0,0.0,0.0
462,G2 Esports,Viktor,0.0,0.0,1.732050808,0.0,0.0
463,G2 Esports,Volibear,0.0,2.449489743,0.0,0.0,0.0
464,G2 Esports,Wukong,0.0,2.449489743,0.0,0.0,0.0
465,G2 Esports,Xayah,2.236067977,0.0,0.0,0.0,0.0
466,G2 Esports,Xin Zhao,0.0,2.645751311,0.0,0.0,0.0
467,G2 Esports,Yasuo,1.414213562,0.0,1.0,0.0,0.0
468,G2 Esports,Yone,0.0,0.0,0.0,0.0,2.449489743
469,G2 Esports,Yuumi,0.0,0.0,0.0,1.0,0.0
470,G2 Esports,Zac,0.0,0.0,0.0,0.0,0.0
471,G2 Esports,Zeri,2.645751311,0.0,0.0,0.0,0.0
472,G2 Esports,Ziggs,0.0,0.0,0.0,0.0,0.0
473,G2 Esports,Zilean,0.0,0.0,0.0,1.414213562,0.0
474,G2 Esports,Zoe,0.0,0.0,1.414213562,0.0,0.0
475,G2 Esports,Zyra,0.0,0.0,0.0,1.0,0.0
