,teamname,Champion,bot,jng,mid,sup,top
209,Excel Esports,Tahm Kench,0.0,0.0,0.0,1.732050808,0.0
210,Excel Esports,Taliyah,0.0,0.0,2.0,0.0,0.0
211,Excel Esports,Taric,0.0,0.0,0.0,1.0,0.0
212,Excel Esports,Thresh,0.0,0.0,0.0,2.0,0.0
213,Excel Esports,Tristana,0.0,0.0,0.0,0.0,0.0
214,Excel Esports,Trundle,0.0,2.449489743,0.0,0.0,0.0
215,Excel Esports,Tryndamere,0.0,0.0,0.0,0.0,1.414213562
216,Excel Esports,Twisted Fate,0.0,0.0,2.0,0.0,0.0
217,Excel Esports,Twitch,1.0,0.0,0.0,0.0,0.0
218,Excel Esports,Varus,1.0,0.0,0.0,0.0,0.0
219,Excel Esports,Vayne,0.0,0.0,0.0,0.0,0.0
220,Excel Esports,Veigar,0.0,0.0,1.732050808,0.0,0.0
221,Excel Esports,Vex,0.0,0.0,1.0,0.0,0.0
222,Excel Esports,Vi,0.0,1.0,0.0,0.0,0.0
223,Excel Esports,Viego,0.0,2.236067977,0.0,0.0,0.0
224,Excel Esports,Viktor,0.0,0.0,1.0,0.0,0.0
225,Excel Esports,Volibear,0.0,2.0,0.0,0.0,0.0
226,Excel Esports,Wukong,0.0,2.828427125,0.0,0.0,0.0
227,Excel Esports,Xayah,1.414213562,0.0,0.0,0.0,0.0
228,Excel Esports,Xin Zhao,0.0,3.0,0.0,0.0,0.0
229,Excel Esports,Yasuo,0.0,0.0,0.0,0.0,0.0
230,Excel Esports,Yone,0.0,0.0,0.0,0.0,0.0
231,Excel Esports,Yuumi,0.0,0.0,0.0,2.828427125,0.0
232,Excel Esports,Zac,0.0,0.0,0.0,0.0,0.0
233,Excel Esports,Zeri,1.732050808,0.0,1.0,0.0,0.0
234,Excel Esports,Ziggs,0.0,0.0,0.0,0.0,0.0
235,Excel Esports,Zilean,0.0,0.0,0.0,1.414213562,0.0
236,Excel Esports,Zoe,0.0,0.0,0.0,0.0,0.0
237,Excel Esports,Zyra,0.0,0.0,0.0,0.0,0.0
