Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
G2 Esports,Excel Esports,29.791118515452702,19.649433307618025,Ahri,Jarvan IV,Aphelios,Rakan,Gnar,Gwen,Sivir,Trundle,Nautilus,Taliyah,Jinx,Xin Zhao,Wukong,Yuumi,Lissandra,Kalista,Lucian,Draven,Twitch,Zeri
G2 Esports,Astralis,29.833909405318742,18.825394112323973,Ahri,Aphelios,Rakan,Gwen,Xin Zhao,Jhin,Jarvan IV,Viktor,Nautilus,Wukong,Vex,Viego,Trundle,Leona,Graves,Zeri,Kalista,Jinx,Lucian,Karthus
G2 Esports,Misfits Gaming,31.818553526472517,19.0184576558984,Ahri,Jarvan IV,Aphelios,Lulu,Yone,Rakan,Gwen,Sivir,Corki,Akali,Lee Sin,Leona,Jinx,Sylas,Gnar,Kalista,Zeri,Draven,Twitch,Samira
G2 Esports,Fnatic,31.689775976257433,21.262801649935174,Ahri,Jarvan IV,Rakan,Gnar,Xayah,Twisted Fate,Sivir,Jayce,Renata Glasc,Lee Sin,Viego,Aphelios,Trundle,Gwen,LeBlanc,Zeri,Lucian,Jinx,Kalista,Draven
G2 Esports,Team BDS,27.819860785163055,17.04606410530701,Ahri,Jarvan IV,Rakan,Gwen,Xayah,Irelia,Braum,Jhin,Viego,Wukong,Xin Zhao,Aphelios,Ezreal,LeBlanc,Karma,Kalista,Jinx,Zeri,Lucian,Draven
Astralis,MAD Lions,28.52073346708679,15.526415985238287,Vex,Viego,Leona,Graves,Xayah,Gwen,Aphelios,Aatrox,Alistar,Taliyah,Nautilus,Jinx,Zeri,Lee Sin,Wukong,Kalista,Lucian,Draven,Twitch,Karthus
Astralis,Team Vitality,30.02948827009859,15.219310037949754,Vex,Viego,Leona,Graves,Xayah,Thresh,Wukong,Ahri,Jhin,Volibear,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Zeri,Lucian,Draven,Sivir,Jinx
Astralis,Rogue,31.61680653988448,18.910444537994003,Vex,Viego,Leona,Graves,Xayah,Viktor,Lulu,Jayce,Aatrox,Trundle,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Lucian,Jinx,Kalista,Zeri,Karthus
Astralis,SK Gaming,27.263930883645454,14.542930095935349,Vex,Viego,Rakan,Graves,Zeri,Akali,Draven,Renata Glasc,Hecarim,Corki,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Kalista,Lucian,Aphelios,Sivir,Twitch
Astralis,Excel Esports,28.69115744781713,16.687474678104017,Vex,Viego,Leona,Graves,Xayah,Nilah,Lulu,Jarvan IV,Gangplank,Ahri,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Zeri,Aphelios,Lucian,Draven,Karthus
Astralis,G2 Esports,29.797569195815512,16.232328025453125,Vex,Trundle,Leona,Graves,Xayah,Draven,Viego,Wukong,Yasuo,Renata Glasc,Ahri,Jarvan IV,Aphelios,Sylas,Rakan,Zeri,Kalista,Jinx,Sivir,Lucian
Astralis,Misfits Gaming,30.227749345733557,16.18474693669204,Vex,Viego,Rakan,Graves,Aphelios,Corki,Poppy,Zeri,Gwen,Thresh,Lee Sin,Leona,Sylas,Gnar,Sivir,Lucian,Jinx,Kalista,Draven,Karthus
Astralis,Fnatic,30.261209264908032,18.263102993230536,Vex,Trundle,Leona,Graves,Xayah,Nami,Jayce,Jhin,Lee Sin,Sylas,Viego,Zeri,Aphelios,Gwen,LeBlanc,Kalista,Jinx,Lucian,Sivir,Draven
Astralis,Team BDS,26.65813130731489,13.78845598868661,Vex,Viego,Leona,Graves,Xayah,Jhin,Gwen,Nautilus,Ahri,Hecarim,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Zeri,Kalista,Jinx,Draven,Lucian
Misfits Gaming,MAD Lions,29.57657703273247,15.396778897560292,Leona,Sylas,Sivir,Ornn,Poppy,Gnar,Gwen,Alistar,Varus,Viktor,Nautilus,Jinx,Lee Sin,Wukong,Taliyah,Kalista,Zeri,Draven,Aphelios,Karthus
Misfits Gaming,Team Vitality,31.96188048880583,14.884184745018352,Lee Sin,Leona,Jinx,Sylas,Ornn,Sivir,Ahri,Gwen,Viego,Thresh,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Zeri,Kalista,Lucian,Draven,Karthus
Misfits Gaming,Rogue,33.68380009018515,17.81072514966228,Lee Sin,Leona,Jinx,Sylas,Gnar,Sivir,Ahri,Trundle,Yuumi,Jayce,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Lucian,Zeri,Kalista,Karthus,Samira
Misfits Gaming,SK Gaming,28.2698708206314,14.506181965410407,Lee Sin,Sylas,Sivir,Ornn,Rakan,Gnar,Corki,Poppy,Karthus,Alistar,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Kalista,Zeri,Draven,Lucian,Twitch
Misfits Gaming,Excel Esports,30.66042773514707,16.883198031480966,Lee Sin,Leona,Sylas,Gnar,Sivir,Nami,Gwen,Ahri,Gangplank,Nilah,Jinx,Xin Zhao,Wukong,Yuumi,Lissandra,Lucian,Kalista,Aphelios,Draven,Zeri
Misfits Gaming,G2 Esports,31.776811989881093,16.111058396493267,Lee Sin,Leona,Jinx,Gnar,Akali,Lissandra,Jhin,Pyke,Ornn,Viego,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Lucian,Kalista,Draven,Karthus,Twitch
Misfits Gaming,Astralis,30.492838707870018,16.26797498094801,Lee Sin,Leona,Sylas,Gnar,Jhin,Rakan,Aphelios,Gwen,Ahri,Ornn,Vex,Viego,Trundle,Graves,Wukong,Zeri,Jinx,Lucian,Sivir,Draven
Misfits Gaming,Fnatic,32.79271536602556,17.94724743315888,Lee Sin,Leona,Jinx,Sylas,Gnar,Twisted Fate,Nami,Jayce,Aatrox,Poppy,Viego,Zeri,Aphelios,Trundle,Gwen,Kalista,Lucian,Sivir,Draven,Samira
Misfits Gaming,Team BDS,28.859714510118636,13.823643845089627,Lee Sin,Leona,Jinx,Sylas,Gnar,Ahri,Braum,Gwen,Wukong,Varus,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Lucian,Zeri,Kalista,Draven,Sivir
Fnatic,MAD Lions,30.60079021880665,19.865616695551548,Viego,Aphelios,Gwen,LeBlanc,Nami,Sylas,Gnar,Sivir,Leona,Poppy,Nautilus,Jinx,Lee Sin,Wukong,Taliyah,Lucian,Zeri,Kalista,Twitch,Samira
Fnatic,Team Vitality,32.04076775823632,19.223188935887343,Viego,Gwen,LeBlanc,Nami,Jinx,Gangplank,Wukong,Thresh,Ahri,Jhin,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Kalista,Lucian,Zeri,Sivir,Karthus
Fnatic,Rogue,33.602028694014386,22.82500059444541,Viego,Gwen,LeBlanc,Nami,Caitlyn,Zeri,Gnar,Ahri,Lee Sin,Nautilus,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Jinx,Lucian,Draven,Twitch
Fnatic,SK Gaming,29.67378234432246,19.31377190524621,Viego,Zeri,Gwen,Nami,Twisted Fate,Lee Sin,Karthus,Viktor,Rakan,Gnar,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Kalista,Aphelios,Draven,Twitch,Samira
Fnatic,Excel Esports,30.840716264227265,21.02799237419755,Viego,Zeri,LeBlanc,Gragas,Renata Glasc,Gwen,Sejuani,Lissandra,Nami,Nilah,Jinx,Xin Zhao,Wukong,Yuumi,Trundle,Kalista,Aphelios,Draven,Sivir,Lucian
Fnatic,G2 Esports,31.764598574208545,20.40725065074689,Viego,Zeri,Gwen,LeBlanc,Nami,Nautilus,Wukong,Corki,Jhin,Ornn,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Kalista,Lucian,Jinx,Sivir,Draven
Fnatic,Astralis,30.419235824563184,20.520356301057177,Zeri,Gwen,LeBlanc,Nami,Volibear,Twitch,Wukong,Sylas,Poppy,Nautilus,Vex,Viego,Trundle,Leona,Rakan,Lucian,Kalista,Jinx,Sivir,Aphelios
Fnatic,Misfits Gaming,32.82702075717416,20.605731916402416,Viego,Aphelios,Gwen,LeBlanc,Nami,Gnar,Rakan,Sylas,Xin Zhao,Aatrox,Lee Sin,Leona,Jinx,Sivir,Ornn,Kalista,Zeri,Draven,Karthus,Lucian
Fnatic,Team BDS,28.523677224946617,18.128579950831814,Viego,Gwen,LeBlanc,Nami,Caitlyn,Ryze,Nautilus,Twitch,Wukong,Gnar,Xin Zhao,Aphelios,Ezreal,Jarvan IV,Karma,Zeri,Lucian,Jinx,Draven,Sivir
Team BDS,MAD Lions,26.856630816632304,14.102396689450176,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Varus,Renekton,Gwen,Leona,Viego,Nautilus,Jinx,Zeri,Lee Sin,Wukong,Lucian,Aphelios,Draven,Kalista,Sivir
Team BDS,Team Vitality,28.09641070200344,12.850150245813339,Xin Zhao,Ezreal,LeBlanc,Karma,Sion,Gwen,Gangplank,Renata Glasc,Ryze,Jhin,Gnar,Aphelios,Tahm Kench,Trundle,Ahri,Lucian,Zeri,Draven,Jinx,Kalista
Team BDS,Rogue,29.82748347982413,15.963694593064098,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Gwen,Lulu,Jhin,Jayce,Ahri,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Zeri,Kalista,Lucian,Jinx,Draven
Team BDS,SK Gaming,25.662264011043412,12.705209932550137,Xin Zhao,Aphelios,LeBlanc,Karma,Sion,Rakan,Draven,Lee Sin,Gnar,Viktor,Jinx,Nautilus,Leona,Jarvan IV,Renata Glasc,Kalista,Zeri,Lucian,Karthus,Twitch
Team BDS,Excel Esports,26.276723778251103,14.737269307715403,Aphelios,LeBlanc,Jarvan IV,Karma,Sion,Ahri,Lulu,Trundle,Gnar,Sivir,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Lucian,Kalista,Zeri,Draven,Twitch
Team BDS,G2 Esports,28.06259975161739,14.213816310060679,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Sylas,Wukong,Jhin,Lee Sin,Renata Glasc,Ahri,Jarvan IV,Aphelios,Trundle,Rakan,Zeri,Kalista,Jinx,Draven,Karthus
Team BDS,Astralis,26.810615561746882,13.7887685129656,Xin Zhao,Aphelios,LeBlanc,Karma,Gnar,Ornn,Wukong,Jhin,Sylas,Thresh,Vex,Viego,Trundle,Leona,Rakan,Kalista,Lucian,Jinx,Zeri,Karthus
Team BDS,Misfits Gaming,28.720375946307882,13.820357137825768,Xin Zhao,Ezreal,LeBlanc,Karma,Sion,Poppy,Twitch,Ornn,Corki,Rakan,Lee Sin,Leona,Jinx,Sylas,Gnar,Zeri,Lucian,Aphelios,Kalista,Karthus
Team BDS,Fnatic,28.9457521902007,17.01859308946457,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Sivir,Gwen,Viktor,Nautilus,Lee Sin,Viego,Zeri,Aphelios,Trundle,Nami,Lucian,Jinx,Draven,Twitch,Kalista
