Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
Fnatic,Rogue,34.15216557870866,19.32633702308251,Zeri,Trundle,Gwen,LeBlanc,Renata Glasc,Aatrox,Twisted Fate,Nami,Gnar,Akshan,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Sivir,Viego,Volibear,Lee Sin
Fnatic,SK Gaming,29.929569853435428,17.43765291378213,Viego,Zeri,Gwen,Nami,Twisted Fate,Gnar,Akshan,Aatrox,Poppy,Vex,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Sivir,Draven,Kalista,Jhin,Diana
Fnatic,Excel Esports,31.213396388480934,18.85689475273731,Viego,Gwen,Lucian,LeBlanc,Nami,Jayce,Draven,Rakan,Ahri,Viktor,Jinx,Xin Zhao,Wukong,Yuumi,Lissandra,Aphelios,Zeri,Lee Sin,Volibear,Sylas
Fnatic,G2 Esports,32.36164756930806,19.610782500973457,Zeri,Trundle,Gwen,LeBlanc,Nami,Ornn,Diana,Sylas,Lulu,Twitch,Ahri,Jarvan IV,Aphelios,Rakan,Xin Zhao,Jinx,Viego,Lucian,Kalista,Volibear
Fnatic,Astralis,30.517682215739246,16.87158483070288,Aphelios,Gwen,LeBlanc,Nami,Poppy,Viktor,Jarvan IV,Akali,Lucian,Ahri,Vex,Trundle,Leona,Rakan,Graves,Viego,Zeri,Wukong,Draven,Kalista
Fnatic,Misfits Gaming,33.16404843915556,18.717247788868473,Viego,Zeri,Gwen,LeBlanc,Nami,Sylas,Aatrox,Ashe,Diana,Aatrox,Lee Sin,Leona,Jinx,Gnar,Ornn,Sivir,Wukong,Twitch,Volibear,Aphelios
Fnatic,Team BDS,28.97852026253526,17.56352007685995,Viego,Zeri,Gwen,Nami,Twisted Fate,Akali,Diana,Yuumi,Sejuani,Yasuo,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jinx,Jhin,Wukong,Kalista,Sivir,Draven
Team BDS,MAD Lions,26.72725987006465,16.920191977479107,Aphelios,LeBlanc,Jarvan IV,Karma,Sion,Yuumi,Taliyah,Varus,Gnar,Trundle,Nautilus,Jinx,Zeri,Wukong,Aatrox,Twitch,Xin Zhao,Lucian,Lee Sin,Volibear
Team BDS,Team Vitality,27.766570258851175,15.042394593871213,Ezreal,LeBlanc,Karma,Viego,Sion,Zilean,Jarvan IV,Akali,Aatrox,Renekton,Gnar,Aphelios,Tahm Kench,Trundle,Ahri,Sivir,Xin Zhao,Lee Sin,Wukong,Varus
Team BDS,Rogue,29.535358436879015,16.155466714154823,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Ahri,Leona,Lissandra,Akshan,Akshan,Jarvan IV,Ornn,Rakan,Azir,Viktor,Aphelios,Wukong,Lucian,Sivir,Hecarim
Team BDS,SK Gaming,25.494349344389303,13.786270014971043,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Aatrox,Zeri,Ornn,Lee Sin,Vex,Jinx,Nautilus,Leona,Jarvan IV,Renata Glasc,Lucian,Aphelios,Twitch,Gwen,Diana
Team BDS,Excel Esports,26.239076874831262,15.160168987908637,Aphelios,LeBlanc,Jarvan IV,Karma,Gnar,Jax,Zeri,Twisted Fate,Trundle,Braum,Jinx,Xin Zhao,Wukong,Yuumi,Lissandra,Twitch,Jhin,Gwen,Lee Sin,Diana
Team BDS,G2 Esports,27.780753708342374,16.531819568791033,Ezreal,LeBlanc,Karma,Viego,Sion,Gnar,Volibear,Taliyah,Zeri,Alistar,Ahri,Jarvan IV,Jinx,Trundle,Sylas,Aphelios,Lucian,Xin Zhao,Hecarim,Jhin
Team BDS,Astralis,26.688829833416467,13.76352096050659,Xin Zhao,Ezreal,LeBlanc,Karma,Gnar,Nautilus,Aatrox,Akshan,Aatrox,Jayce,Vex,Viego,Trundle,Leona,Rakan,Jhin,Twitch,Aphelios,Wukong,Hecarim
Team BDS,Misfits Gaming,28.68860887220575,15.498963874856988,Xin Zhao,Aphelios,LeBlanc,Karma,Sion,Aatrox,Wukong,Zoe,Ahri,Rakan,Lee Sin,Leona,Sylas,Gnar,Sivir,Jinx,Varus,Zeri,Viego,Hecarim
Team BDS,Fnatic,28.81895285354769,16.884943360251082,Ezreal,LeBlanc,Jarvan IV,Karma,Gnar,Akshan,Braum,Aatrox,Poppy,Renekton,Viego,Zeri,Aphelios,Trundle,Lucian,Xin Zhao,Twitch,Hecarim,Gwen,Lee Sin
