Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
MAD Lions,Team Vitality,30.176357611174748,17.72665798393343,Nautilus,Lee Sin,Taliyah,Aatrox,Sivir,Renata Glasc,Wukong,Trundle,Twisted Fate,Aatrox,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Lucian,Zeri,Jinx,Twitch,Draven
MAD Lions,Rogue,31.868467023118416,20.986686158671677,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Jayce,Sylas,Ahri,Nami,Volibear,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Draven,Sivir,Karthus,Samira
MAD Lions,SK Gaming,26.659161907664473,16.999719102427697,Lee Sin,Aphelios,Taliyah,Aatrox,Rakan,Alistar,Lissandra,Jayce,Sivir,Volibear,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Lucian,Zeri,Karthus,Draven,Kalista
MAD Lions,Excel Esports,28.960520546807068,19.14979331872919,Nautilus,Lee Sin,Taliyah,Aatrox,Draven,Thresh,Twisted Fate,Kalista,Gangplank,Volibear,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Aphelios,Zeri,Karthus,Sivir,Samira
MAD Lions,G2 Esports,29.914095515943558,19.850020112305717,Nautilus,Lee Sin,Taliyah,Aatrox,Sivir,Lucian,Rakan,Viego,Twisted Fate,Ornn,Ahri,Jarvan IV,Aphelios,Trundle,Sylas,Kalista,Zeri,Jinx,Karthus,Samira
MAD Lions,Astralis,28.98213483201441,18.39081754327336,Nautilus,Lee Sin,Taliyah,Aatrox,Sivir,Xin Zhao,Twitch,Rakan,Ahri,Gnar,Vex,Viego,Trundle,Leona,Graves,Jinx,Aphelios,Zeri,Karthus,Kalista
MAD Lions,Misfits Gaming,30.388707965984633,19.291963283760936,Nautilus,Zeri,Wukong,Taliyah,Aatrox,Poppy,Ahri,Sivir,Ornn,Yuumi,Lee Sin,Leona,Sylas,Gnar,Aphelios,Kalista,Jinx,Draven,Karthus,Lucian
MAD Lions,Fnatic,30.714132690357992,20.48062738396228,Nautilus,Lee Sin,Taliyah,Aatrox,Sivir,Pyke,Jayce,Poppy,Corki,Akali,Viego,Zeri,Trundle,Gwen,LeBlanc,Jinx,Aphelios,Lucian,Draven,Jhin
MAD Lions,Team BDS,26.94976394072441,17.24574716389372,Nautilus,Lee Sin,Taliyah,Aatrox,Draven,Jarvan IV,Akali,Varus,Yuumi,Ryze,Xin Zhao,Aphelios,Ezreal,LeBlanc,Karma,Jinx,Zeri,Sivir,Twitch,Kalista
Team Vitality,MAD Lions,30.007664204716576,19.695778698860206,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Rakan,Varus,Twisted Fate,Viego,Ornn,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Lucian,Zeri,Aphelios,Wukong,Jhin
Team Vitality,Rogue,32.61196526975289,20.981181853607662,Gnar,Tahm Kench,Xin Zhao,Orianna,Xayah,Wukong,Jhin,Gangplank,Ahri,Lulu,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Jinx,Sivir,Zeri,Lucian,Hecarim
Team Vitality,SK Gaming,28.96516237419722,17.70452462642039,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Ryze,Gangplank,Renata Glasc,Zeri,Poppy,Jinx,Nautilus,Leona,Jarvan IV,LeBlanc,Lucian,Gwen,Wukong,Trundle,Lee Sin
Team Vitality,Excel Esports,29.81154130971852,19.28475948732111,Gnar,Aphelios,Tahm Kench,Ahri,Volibear,Nami,Corki,Samira,Hecarim,Gangplank,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Sivir,Zeri,Trundle,Lucian,Viego
Team Vitality,G2 Esports,30.73937032815608,19.935938969618395,Gnar,Tahm Kench,Trundle,Orianna,Xayah,Xin Zhao,Sylas,Lulu,Twitch,Ornn,Ahri,Jarvan IV,Jinx,Rakan,Gwen,Zeri,Aphelios,Jhin,Lucian,Sivir
Team Vitality,Astralis,29.902902812392178,18.190554015340894,Gnar,Aphelios,Tahm Kench,Ahri,Wukong,Volibear,Jinx,Kennen,Corki,Alistar,Vex,Viego,Trundle,Leona,Rakan,Lucian,Zeri,Jhin,Xin Zhao,Gwen
Team Vitality,Misfits Gaming,31.63905844762738,19.107404168371744,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Nautilus,Corki,Poppy,Jax,Ahri,Lee Sin,Leona,Sylas,Sivir,Ornn,Jinx,Zeri,Aphelios,Jhin,Wukong
Team Vitality,Fnatic,31.698471691024483,20.90822216724533,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Viktor,Nami,Draven,Jayce,Diana,Viego,Zeri,Aphelios,Gwen,LeBlanc,Jinx,Sivir,Lucian,Trundle,Wukong
Team Vitality,Team BDS,27.42996442371899,16.919679691264893,Gnar,Tahm Kench,Trundle,Ahri,Xayah,Braum,Kennen,Swain,Lee Sin,Varus,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Zeri,Jhin,Lucian,Jinx,Gwen
Rogue,MAD Lions,31.80574987837305,23.064008821784977,Jarvan IV,Ornn,Aphelios,Azir,Nami,Rakan,Sivir,Gwen,Sylas,Graves,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Zeri,Kalista,Wukong,Jhin,Hecarim
Rogue,Team Vitality,32.884207857739185,21.28241599255237,Jarvan IV,Ornn,Rakan,Azir,Lucian,Volibear,Twisted Fate,Gangplank,Ahri,Yuumi,Gnar,Aphelios,Tahm Kench,Xin Zhao,Ahri,Jinx,Kalista,Zeri,Wukong,Trundle
Rogue,SK Gaming,30.743442813321174,20.921353952904795,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Aatrox,Lee Sin,Samira,Braum,Ryze,Jinx,Nautilus,Leona,LeBlanc,Renata Glasc,Sivir,Zeri,Wukong,Kalista,Xin Zhao
Rogue,Excel Esports,32.10592754195156,22.84238988326014,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Volibear,Nami,Corki,Graves,Nilah,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Lucian,Aphelios,Zeri,Sivir,Kalista
Rogue,G2 Esports,31.38094157845047,23.4467821242506,Ornn,Rakan,Azir,Caitlyn,Volibear,Corki,Lulu,Kalista,Sejuani,Diana,Ahri,Jarvan IV,Jinx,Trundle,Sylas,Aphelios,Sivir,Jhin,Xin Zhao,Lucian
Rogue,Astralis,31.57932555231873,21.254761334100174,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Leona,Viktor,Jinx,Aatrox,Jayce,Vex,Viego,Trundle,Graves,Wukong,Aphelios,Lucian,Zeri,Kalista,Xin Zhao
Rogue,Misfits Gaming,33.69267160674114,22.89663582414911,Jarvan IV,Ornn,Rakan,Azir,Lucian,Aphelios,Poppy,Thresh,Zoe,Gwen,Lee Sin,Leona,Jinx,Sylas,Gnar,Zeri,Kalista,Wukong,Trundle,Xin Zhao
Rogue,Fnatic,33.752064560999855,24.51990169984258,Jarvan IV,Ornn,Rakan,Azir,Caitlyn,Sylas,Renata Glasc,Lee Sin,Gnar,Draven,Viego,Zeri,Aphelios,Trundle,Gwen,Lucian,Sivir,Jinx,Xin Zhao,Jhin
