Blue_Team,Red_Team,Blue_Utility,Red_Utility,BS1,BS2,BS3,BS4,BS5,RS1,RS2,RS3,RS4,RS5,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5
MAD Lions,Team Vitality,30.174378424849415,17.07848530407783,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Gangplank,Corki,Gwen,Akali,Alistar,Gnar,Aphelios,Tahm Kench,Xin Zhao,Trundle,Lucian,Kalista,Zeri,Twitch,Samira
MAD Lions,Rogue,31.854647586080787,20.16173986893658,Nautilus,Zeri,Lee Sin,Taliyah,Aatrox,Renata Glasc,Ahri,Gwen,Akali,Graves,Jarvan IV,Ornn,Aphelios,Rakan,Azir,Kalista,Jinx,Lucian,Sivir,Jhin
MAD Lions,SK Gaming,26.658192098225012,16.615306954577733,Lee Sin,Aphelios,Taliyah,Aatrox,Rakan,Lulu,Viktor,Jarvan IV,Akali,Karthus,Jinx,Nautilus,Leona,LeBlanc,Renata Glasc,Zeri,Lucian,Draven,Samira,Sivir
MAD Lions,Excel Esports,28.92772368541761,18.858926046912874,Nautilus,Lee Sin,Aphelios,Taliyah,Aatrox,Nami,Samira,Lissandra,Poppy,Sejuani,Jinx,Xin Zhao,Wukong,Yuumi,Gwen,Zeri,Lucian,Draven,Kalista,Jhin
MAD Lions,G2 Esports,29.92867983498238,18.869976329328964,Nautilus,Zeri,Lee Sin,Taliyah,Aatrox,Kalista,Viego,Ornn,Pyke,Corki,Ahri,Jarvan IV,Trundle,Sylas,Rakan,Jinx,Aphelios,Sivir,Lucian,Karthus
MAD Lions,Astralis,28.984103684944635,17.778562098683953,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Volibear,Leona,Viktor,Draven,Ornn,Vex,Viego,Trundle,Rakan,Graves,Zeri,Kalista,Aphelios,Karthus,Lucian
MAD Lions,Misfits Gaming,30.422249947188153,18.275532492251116,Nautilus,Wukong,Taliyah,Aatrox,Sivir,Akali,Thresh,Poppy,Renekton,Aatrox,Lee Sin,Leona,Jinx,Sylas,Gnar,Zeri,Lucian,Aphelios,Twitch,Samira
MAD Lions,Fnatic,30.691338154481333,20.148252335981038,Nautilus,Jinx,Lee Sin,Taliyah,Aatrox,Twisted Fate,Gwen,Lulu,Akali,Akshan,Viego,Zeri,Aphelios,Trundle,LeBlanc,Kalista,Sivir,Draven,Lucian,Twitch
MAD Lions,Team BDS,26.951058487005568,16.69076725547006,Nautilus,Lee Sin,Taliyah,Aatrox,Kalista,Ahri,Sivir,Rakan,Gwen,Hecarim,Xin Zhao,Aphelios,Ezreal,LeBlanc,Jarvan IV,Jinx,Zeri,Lucian,Draven,Twitch
Team Vitality,MAD Lions,30.119953147182656,14.579490971823382,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Trundle,Taliyah,Draven,Lulu,Gangplank,Nautilus,Jinx,Lee Sin,Wukong,Aatrox,Zeri,Sivir,Aphelios,Samira,Karthus
Team Vitality,Rogue,32.61107332410729,16.112488201945226,Gnar,Tahm Kench,Xin Zhao,Ahri,Xayah,Jayce,Lee Sin,Sivir,Corki,Yuumi,Jarvan IV,Ornn,Rakan,Azir,Viktor,Lucian,Aphelios,Jinx,Kalista,Twitch
